# AP NFL Most Valuable Player winners. Training label for the MVP rule in
# scripts/fit-mvp.ts. Wikipedia is blocked by this network's egress policy, so
# this was assembled from three independent public datasets and cross-checked:
#   github.com/jeffwarr4/nfl-awards-predictor   data/raw/mvp_winners.csv   (1957-2024, the spine)
#   github.com/tomshafer/nfl-mvp                nfl-mvp-voting.csv          (2014-2019, carries AP/WTOP source URLs)
#   github.com/bcongelio/nfl-analytics-with-r-book example_data/csv/qb_mvp.csv (2010-2022)
# They overlap on 12 seasons and agree on all 12, with no conflicts.
# 2025 is absent from all three; add it by hand when it is settled.
season,player,position,team
1957,Jim Brown,FB,Cleveland Browns
1958,Jim Brown,FB,Cleveland Browns
1959,Johnny Unitas,QB,Baltimore Colts
1961,Paul Hornung,HB,Green Bay Packers
1962,Jim Taylor,FB,Green Bay Packers
1963,Y.A. Tittle,QB,New York Giants
1964,Johnny Unitas,QB,Baltimore Colts
1965,Jim Brown,FB,Cleveland Browns
1966,Bart Starr,QB,Green Bay Packers
1967,Johnny Unitas,QB,Baltimore Colts
1968,Earl Morrall,QB,Baltimore Colts
1969,Roman Gabriel,QB,Los Angeles Rams
1970,John Brodie,QB,San Francisco 49ers
1971,Alan Page,RDT,Minnesota Vikings
1972,Larry Brown,RB,Washington Redskins
1973,O.J. Simpson,RB,Buffalo Bills
1974,Ken Stabler,QB,Oakland Raiders
1975,Fran Tarkenton,QB,Minnesota Vikings
1976,Bert Jones,QB,Baltimore Colts
1977,Walter Payton,RB,Chicago Bears
1978,Terry Bradshaw,QB,Pittsburgh Steelers
1979,Earl Campbell,RB,Houston Oilers
1980,Brian Sipe,QB,Cleveland Browns
1981,Ken Anderson,QB,Cincinnati Bengals
1982,Mark Moseley,K,Washington Redskins
1983,Joe Theismann,QB,Washington Redskins
1984,Dan Marino,QB,Miami Dolphins
1985,Marcus Allen,RB,Los Angeles Raiders
1986,Lawrence Taylor,ROLB,New York Giants
1987,John Elway,QB,Denver Broncos
1988,Boomer Esiason,QB,Cincinnati Bengals
1989,Joe Montana,QB,San Francisco 49ers
1990,Joe Montana,QB,San Francisco 49ers
1991,Thurman Thomas,RB,Buffalo Bills
1992,Steve Young,QB,San Francisco 49ers
1993,Emmitt Smith,RB,Dallas Cowboys
1994,Steve Young,QB,San Francisco 49ers
1995,Brett Favre,QB,Green Bay Packers
1996,Brett Favre,QB,Green Bay Packers
1997,Barry Sanders,RB,Detroit Lions
1997,Brett Favre,QB,Green Bay Packers
1998,Terrell Davis,RB,Denver Broncos
1999,Kurt Warner,QB,St. Louis Rams
2000,Marshall Faulk,RB,St. Louis Rams
2001,Kurt Warner,QB,St. Louis Rams
2002,Rich Gannon,QB,Oakland Raiders
2003,Steve McNair,QB,Tennessee Titans
2003,Peyton Manning,QB,Indianapolis Colts
2004,Peyton Manning,QB,Indianapolis Colts
2005,Shaun Alexander,RB,Seattle Seahawks
2006,LaDainian Tomlinson,RB,San Diego Chargers
2007,Tom Brady,QB,New England Patriots
2008,Peyton Manning,QB,Indianapolis Colts
2009,Peyton Manning,QB,Indianapolis Colts
2010,Tom Brady,QB,New England Patriots
2011,Aaron Rodgers,QB,Green Bay Packers
2012,Adrian Peterson,RB,Minnesota Vikings
2013,Peyton Manning,QB,Denver Broncos
2014,Aaron Rodgers,QB,Green Bay Packers
2015,Cam Newton,QB,Carolina Panthers
2016,Matt Ryan,QB,Atlanta Falcons
2017,Tom Brady,QB,New England Patriots
2018,Patrick Mahomes,QB,Kansas City Chiefs
2019,Lamar Jackson,QB,Baltimore Ravens
2020,Aaron Rodgers,QB,Green Bay Packers
2021,Aaron Rodgers,QB,Green Bay Packers
2022,Patrick Mahomes,QB,Kansas City Chiefs
2023,Lamar Jackson,QB,Baltimore Ravens
2024,Josh Allen,QB,Buffalo Bills
